filing_date,fiscal_period,fiscal_year,start_date,end_date,cik,company_name,revenues,cost_of_revenue,gross_profit,operating_expenses,operating_income,net_income,diluted_eps,basic_eps,total_assets,current_assets,noncurrent_assets,total_liabilities,current_liabilities,noncurrent_liabilities,stockholders_equity,retained_earnings,operating_cash_flow,investing_cash_flow,financing_cash_flow,free_cash_flow,gross_profit_margin,operating_margin,net_profit_margin,current_ratio,debt_to_assets,debt_to_equity,roe,roa
2016-01-27,Q1,2016,2015-09-27,2015-12-26,0000320193,APPLE INC,75872000000.0,45449000000.0,30423000000.0,6252000000.0,24171000000.0,18361000000.0,3.28,3.3,293284000000.0,76219000000.0,217065000000.0,165017000000.0,76092000000.0,88925000000.0,128267000000.0,128267000000.0,27463000000.0,-20450000000.0,-11444000000.0,-4431000000.0,40.097796288485874,31.857602277520037,24.19996836777731,1.0016690322241497,0.5626525824797807,1.2865117294393726,14.314671739418557,6.2604847178843706
2016-04-27,Q2,2016,2015-12-27,2016-03-26,0000320193,APPLE INC,50557000000.0,30636000000.0,19921000000.0,5934000000.0,13987000000.0,10516000000.0,1.9,1.91,305277000000.0,87592000000.0,217685000000.0,174820000000.0,68265000000.0,106555000000.0,130457000000.0,130457000000.0,11601000000.0,-13660000000.0,6884000000.0,4825000000.0,39.403050022746605,27.665802955080405,20.80028482702692,1.2831172636050685,0.5726602397167163,1.3400584100508213,8.0608936277854,3.444740350566862
2016-07-27,Q3,2016,2016-03-27,2016-06-25,0000320193,APPLE INC,42358000000.0,26252000000.0,16106000000.0,6001000000.0,10105000000.0,7796000000.0,1.42,1.43,305602000000.0,93761000000.0,211841000000.0,179061000000.0,71486000000.0,107575000000.0,126541000000.0,126541000000.0,10634000000.0,-4470000000.0,-9441000000.0,-3277000000.0,38.023513858066956,23.856178289815382,18.405023844374142,1.3115994740228856,0.5859287570107525,1.4150433456350116,6.160849052876143,2.5510304251935527
2017-02-01,Q1,2017,2016-09-25,2016-12-31,0000320193,APPLE INC,78351000000.0,48175000000.0,30176000000.0,6817000000.0,23359000000.0,17891000000.0,3.36,3.38,331141000000.0,103332000000.0,227809000000.0,198751000000.0,84130000000.0,114621000000.0,132390000000.0,132390000000.0,27056000000.0,-19122000000.0,-12047000000.0,-4113000000.0,38.51386708529566,29.813276154739572,22.834424576584855,1.228242006418638,0.600200518812228,1.5012538711383034,13.513860563486668,5.402834442125862
2017-05-03,Q2,2017,2017-01-01,2017-04-01,0000320193,APPLE INC,52896000000.0,32305000000.0,20591000000.0,6494000000.0,14097000000.0,11029000000.0,2.1,2.11,334532000000.0,101990000000.0,232542000000.0,200450000000.0,73342000000.0,127108000000.0,134082000000.0,134082000000.0,12523000000.0,-14202000000.0,465000000.0,-1214000000.0,38.927329098608595,26.65040834845735,20.850347852389596,1.3906083826456874,0.5991952937237693,1.494980683462359,8.225563461165555,3.2968445470089556
2017-08-02,Q3,2017,2017-04-02,2017-07-01,0000320193,APPLE INC,45408000000.0,27920000000.0,17488000000.0,6720000000.0,10768000000.0,8717000000.0,1.67,1.68,345173000000.0,112875000000.0,232298000000.0,212748000000.0,81302000000.0,131446000000.0,132425000000.0,132425000000.0,8363000000.0,-3180000000.0,-1769000000.0,3414000000.0,38.513037350246655,23.713883016208598,19.197057787174067,1.388342230203439,0.6163518004015378,1.6065546535774966,6.582593921087408,2.525400306512966
2018-02-02,Q1,2018,2017-10-01,2017-12-30,0000320193,APPLE INC,88293000000.0,54381000000.0,33912000000.0,7638000000.0,26274000000.0,20065000000.0,3.89,3.92,406794000000.0,143810000000.0,262984000000.0,266595000000.0,115788000000.0,150807000000.0,140199000000.0,140199000000.0,28293000000.0,-13590000000.0,-7501000000.0,7202000000.0,38.408480853521795,29.757738439060855,22.725470875380836,1.2420112619615158,0.6553562736913524,1.9015470866411315,14.31179965620297,4.932471963696613
2018-05-02,Q2,2018,2017-12-31,2018-03-31,0000320193,APPLE INC,61137000000.0,37715000000.0,23422000000.0,7528000000.0,15894000000.0,13822000000.0,2.73,2.75,367502000000.0,130053000000.0,237449000000.0,240624000000.0,89320000000.0,151304000000.0,126878000000.0,126878000000.0,15130000000.0,28710000000.0,-26272000000.0,17568000000.0,38.310679294044526,25.99735021345503,22.608240509020725,1.4560344827586207,0.6547556203775762,1.8964989990384464,10.893929601664592,3.7610679669770506
2018-08-01,Q3,2018,2018-04-01,2018-06-30,0000320193,APPLE INC,53265000000.0,32844000000.0,20421000000.0,7809000000.0,12612000000.0,11519000000.0,2.34,2.36,349197000000.0,115761000000.0,233436000000.0,234248000000.0,88548000000.0,145700000000.0,114949000000.0,114949000000.0,14488000000.0,3947000000.0,-31523000000.0,-13088000000.0,38.33849619825401,23.677837228949592,21.625833098657655,1.3073248407643312,0.670819050564581,2.0378428694464503,10.020965819624356,3.2987110427638267
2019-01-30,Q1,2019,2018-09-30,2018-12-29,0000320193,APPLE INC,84310000000.0,52279000000.0,32031000000.0,8685000000.0,23346000000.0,19965000000.0,4.18,4.22,373719000000.0,140828000000.0,232891000000.0,255827000000.0,108283000000.0,147544000000.0,117892000000.0,117892000000.0,26690000000.0,5844000000.0,-13676000000.0,18858000000.0,37.99193452733958,27.690665401494485,23.680464950776894,1.3005550271049011,0.684543734731175,2.1700115359820855,16.934991348013437,5.342249123004182
