date,Open,High,Low,Close,Volume,VWAP,Transactions
2023-10-03 04:00:00,172.255,173.63,170.82,172.4,49594613.0,172.1342,542569
2023-10-04 04:00:00,171.09,174.21,170.97,173.66,53020286.0,172.9437,560976
2023-10-05 04:00:00,173.79,175.45,172.68,174.91,48527918.0,174.2297,509175
2023-10-06 04:00:00,173.8,177.99,173.18,177.49,57266675.0,176.3366,593944
2023-10-09 04:00:00,176.81,179.05,175.8,178.99,42390772.0,177.8692,518257
2023-10-10 04:00:00,178.1,179.72,177.95,178.39,43698019.0,178.6901,524939
2023-10-11 04:00:00,178.2,179.85,177.6,179.8,47551098.0,178.9503,503478
2023-10-12 04:00:00,180.07,182.34,179.04,180.71,56743119.0,180.9482,616891
2023-10-13 04:00:00,181.42,181.93,178.14,178.85,51456082.0,179.4154,531442
2023-10-16 04:00:00,176.75,179.075,176.51,178.72,52516984.0,178.1478,632605
2023-10-17 04:00:00,176.645,178.42,174.8,177.15,57549350.0,176.8623,592323
2023-10-18 04:00:00,175.58,177.575,175.11,175.84,54764375.0,176.3501,540187
2023-10-19 04:00:00,176.04,177.84,175.19,175.46,59302863.0,176.2142,560261
2023-10-20 04:00:00,175.31,175.42,172.64,172.88,64244028.0,173.7456,600321
2023-10-23 04:00:00,170.91,174.01,169.93,173.0,55980109.0,172.3829,639616
2023-10-24 04:00:00,173.05,173.67,171.45,173.44,43816644.0,172.7333,530406
2023-10-25 04:00:00,171.88,173.06,170.65,171.1,57156962.0,171.4932,610143
2023-10-26 04:00:00,170.37,171.3775,165.67,166.89,70625258.0,167.5944,815217
2023-10-27 04:00:00,166.91,168.96,166.83,168.22,58499129.0,167.9071,609512
2023-10-30 04:00:00,169.02,171.17,168.87,170.29,51130955.0,170.0774,628253
2023-10-31 04:00:00,169.35,170.9,167.9,170.77,44846017.0,169.9252,509879
2023-11-01 04:00:00,171.0,174.23,170.12,173.97,56934906.0,172.6187,633476
2023-11-02 04:00:00,175.52,177.78,175.46,177.57,77334752.0,176.6797,805048
2023-11-03 04:00:00,174.24,176.82,173.35,176.65,79829246.0,175.5751,858038
2023-11-06 05:00:00,176.38,179.43,176.21,179.23,63841310.0,178.5589,678103
2023-11-07 05:00:00,179.18,182.44,178.97,181.82,70529966.0,181.2627,653779
2023-11-08 05:00:00,182.35,183.45,181.59,182.89,49340282.0,182.6566,542421
2023-11-09 05:00:00,182.96,184.12,181.81,182.41,53763540.0,182.9116,545660
2023-11-10 05:00:00,183.97,186.565,183.53,186.4,66177922.0,185.4104,610938
2023-11-13 05:00:00,185.82,186.03,184.21,184.8,43627519.0,184.8317,530407
2023-11-14 05:00:00,187.7,188.11,186.3,187.44,60108378.0,187.2038,609218
2023-11-15 05:00:00,187.845,189.5,187.78,188.01,53790499.0,188.4206,564160
2023-11-16 05:00:00,189.57,190.96,188.65,189.71,54412915.0,189.7109,620748
2023-11-17 05:00:00,190.25,190.38,188.57,189.69,50941404.0,189.6006,510219
2023-11-20 05:00:00,189.89,191.905,189.88,191.45,46538614.0,191.2984,554014
2023-11-21 05:00:00,191.41,191.52,189.74,190.64,38134485.0,190.51,450749
2023-11-22 05:00:00,191.49,192.93,190.825,191.31,39630011.0,191.7223,463560
2023-11-24 05:00:00,190.87,190.9,189.25,189.97,24048344.0,189.7898,335948
2023-11-27 05:00:00,189.92,190.67,188.9,189.79,40552609.0,189.7965,508896
2023-11-28 05:00:00,189.78,191.08,189.4,190.4,38415419.0,190.165,458154
2023-11-29 05:00:00,190.9,192.09,188.97,189.37,43014224.0,189.9974,493064
2023-11-30 05:00:00,189.84,190.32,188.19,189.95,48794366.0,189.3364,486787
2023-12-01 05:00:00,190.33,191.56,189.23,191.24,45704823.0,190.861,515540
2023-12-04 05:00:00,189.98,190.05,187.4511,189.43,43389519.0,188.916,587461
2023-12-05 05:00:00,190.21,194.4,190.18,193.42,66628398.0,193.1715,700669
2023-12-06 05:00:00,194.45,194.76,192.11,192.32,41089737.0,192.8013,491438
2023-12-07 05:00:00,193.63,195.0,193.59,194.27,47477655.0,194.3971,495052
2023-12-08 05:00:00,194.2,195.99,193.67,195.71,53406358.0,195.1641,538969
2023-12-11 05:00:00,193.11,193.49,191.42,193.18,60943699.0,192.7089,691172
2023-12-12 05:00:00,193.08,194.72,191.721,194.71,52696900.0,193.7834,510768
2023-12-13 05:00:00,195.09,198.0,194.85,197.96,70404183.0,196.9085,672552
2023-12-14 05:00:00,198.02,199.62,196.16,198.11,66831572.0,198.2872,691862
2023-12-15 05:00:00,197.53,198.3999,197.0,197.57,128538401.0,197.5605,625454
2023-12-18 05:00:00,196.09,196.63,194.39,195.89,55751861.0,195.6255,655763
2023-12-19 05:00:00,196.16,196.95,195.89,196.94,40714051.0,196.5277,451709
2023-12-20 05:00:00,196.9,197.68,194.83,194.83,52242815.0,196.142,550599
2023-12-21 05:00:00,196.1,197.08,193.5,194.68,46482549.0,194.7425,554844
2023-12-22 05:00:00,195.18,195.41,192.97,193.6,37149570.0,194.1013,500544
2023-12-26 05:00:00,193.61,193.89,192.83,193.05,28919310.0,193.1713,488257
2023-12-27 05:00:00,192.49,193.5,191.09,193.15,48087681.0,192.5679,548076
2023-12-28 05:00:00,194.14,194.66,193.17,193.58,34049898.0,193.9222,472404
2023-12-29 05:00:00,193.9,194.4,191.725,192.53,42672148.0,192.5761,509123
2024-01-02 05:00:00,187.15,188.44,183.885,185.64,82488674.0,185.9374,1008875
2024-01-03 05:00:00,184.22,185.88,183.43,184.25,58414460.0,184.3226,656853
2024-01-04 05:00:00,182.15,183.0872,180.88,181.91,71983570.0,182.0175,712693
2024-01-05 05:00:00,181.99,182.76,180.17,181.18,62379661.0,181.474,682335
2024-01-08 05:00:00,182.085,185.6,181.5,185.56,59144470.0,184.3702,669173
2024-01-09 05:00:00,183.92,185.15,182.73,185.14,42841809.0,184.3706,538180
2024-01-10 05:00:00,184.35,186.4,183.92,186.19,46792908.0,185.2403,554778
2024-01-11 05:00:00,186.54,187.05,183.62,185.59,49128408.0,185.0604,584008
2024-01-12 05:00:00,186.06,186.74,185.19,185.92,40477782.0,185.8199,477050
2024-01-16 05:00:00,182.16,184.26,180.934,183.63,65603041.0,182.8825,767284
2024-01-17 05:00:00,181.27,182.93,180.3,182.68,47317433.0,181.9201,594632
2024-01-18 05:00:00,186.09,189.14,185.83,188.63,78005754.0,187.9375,787235
2024-01-19 05:00:00,189.33,191.95,188.82,191.56,68902985.0,190.6151,682664
2024-01-22 05:00:00,192.3,195.33,192.26,193.89,60133852.0,193.9891,718108
2024-01-23 05:00:00,195.02,195.75,193.8299,195.18,42355590.0,194.8203,533093
2024-01-24 05:00:00,195.42,196.38,194.34,194.5,53631316.0,195.2063,594714
2024-01-25 05:00:00,195.22,196.2675,193.1125,194.17,54822126.0,194.7337,644526
2024-01-26 05:00:00,194.27,194.76,191.94,192.42,44594011.0,193.1206,534166
2024-01-29 05:00:00,192.01,192.2,189.58,191.73,47145622.0,191.2954,599513
2024-01-30 05:00:00,190.94,191.8,187.47,188.04,55859370.0,188.7925,690707
2024-01-31 05:00:00,187.04,187.095,184.35,184.4,55467803.0,185.3525,679844
2024-02-01 05:00:00,183.985,186.95,183.82,186.86,64885408.0,185.5688,820977
2024-02-02 05:00:00,179.86,187.33,179.25,185.85,102551680.0,184.7435,1108466
2024-02-05 05:00:00,188.15,189.25,185.84,187.68,69668820.0,187.6826,804749
2024-02-06 05:00:00,186.86,189.31,186.7695,189.3,43490759.0,188.4788,530825
2024-02-07 05:00:00,190.64,191.05,188.61,189.41,53438955.0,189.3803,596088
2024-02-08 05:00:00,189.385,189.535,187.35,188.32,40962046.0,188.3032,521464
2024-02-09 05:00:00,188.65,189.99,188.0,188.85,45155216.0,189.0056,544714
2024-02-12 05:00:00,188.415,188.67,186.79,187.15,41781934.0,187.5914,585515
2024-02-13 05:00:00,185.77,186.21,183.5128,185.04,56529529.0,185.0421,644015
2024-02-14 05:00:00,185.32,185.53,182.44,184.15,54630517.0,183.6206,679073
2024-02-15 05:00:00,183.55,184.49,181.35,183.86,65434496.0,182.8487,756083
2024-02-16 05:00:00,183.42,184.85,181.665,182.31,49752465.0,182.7317,611770
2024-02-20 05:00:00,181.79,182.43,180.0,181.56,53665553.0,181.1,712338
2024-02-21 05:00:00,181.94,182.8888,180.66,182.32,41529674.0,181.9945,522493
2024-02-22 05:00:00,183.48,184.955,182.46,184.37,52292208.0,183.8373,613893
2024-02-23 05:00:00,185.01,185.04,182.23,182.52,45119677.0,182.9877,549251
2024-02-26 05:00:00,182.24,182.76,180.65,181.16,40867421.0,181.3213,615639
2024-02-27 05:00:00,181.1,183.9225,179.56,182.63,54318851.0,181.8192,669751
2024-02-28 05:00:00,182.51,183.12,180.13,181.42,48953939.0,181.1915,596443
2024-02-29 05:00:00,181.27,182.57,179.53,180.75,136682597.0,180.6781,813073
2024-03-01 05:00:00,179.55,180.53,177.38,179.66,73563082.0,179.033,911079
2024-03-04 05:00:00,176.15,176.9,173.79,175.1,81510101.0,174.8938,1167167
2024-03-05 05:00:00,170.76,172.04,169.62,170.12,95132355.0,170.3234,1108821
2024-03-06 05:00:00,171.06,171.24,168.68,169.12,68587707.0,169.5507,896300
2024-03-07 05:00:00,169.15,170.73,168.49,169.0,71765061.0,169.3619,825406
